0,20
0,20
0,20
0,20
0,20
1,20
2,20
3,20
4,20
5,15
6,10
7,5
8,0
9,0
10,2
11,4
12,6
13,8
14,10
15,12
16,14
17,16
18,18
19,20
20,24
21,28
22,32
23,36
24,40
25,44
26,48
27,52
28,56
29,60
30,60
31,60
32,60
33,60
34,60
35,60
36,60
37,60
38,58
39,56
40,54
41,52
42,50
43,50
44,50
45,50
46,40
47,30
48,20
49,10
50,0
50,0
50,0
50,0
45,0
40,0
35,0
30,0
25,0
20,0
15,0
10,0
8,5
6,10
4,15
2,20
0,25
0,30
0,30
0,30
0,30
2,30
4,28
2,26
0,24
0,22
0,20
0,20
0,20
2,20
4,20
5,20
4,20
2,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
